CHR,start,end,gene_id,genename,n_snp_input,n_snp_model,model_type,in_sample_r2,in_sample_cor_pvalue
chr10,74162,74163,ENSG00000261456.5,TUBB8,57,6,NonSpecific,0.13621015101310593,2.2819482475107748e-5
chr10,988018,988019,ENSG00000107937.18,GTPBP4,106,16,NonSpecific,0.21207454935659156,6.525548026946353e-8
chr10,1049537,1049538,ENSG00000047056.14,WDR37,108,17,NonSpecific,0.16662890410729422,2.2954274735617837e-6
chr10,1737475,1737476,ENSG00000185736.15,ADARB2,118,6,NonSpecific,0.1864900566521548,4.943774305520217e-7
chr10,3172840,3172841,ENSG00000107959.15,PITRM1,95,18,CellTypeSpecific,0.28579157982753156,1.3490337987384511e-10
chr10,37976632,37976633,ENSG00000175395.15,ZNF25,231,90,CellTypeSpecific,0.08300511151978453,0.0011214723996182197
chr10,38137336,38137337,ENSG00000272983.1,RP11-508N22.12,221,20,NonSpecific,0.061053523023521905,0.0054692988391154525
chr10,42475542,42475543,ENSG00000185904.11,LINC00839,117,14,CellTypeSpecific,0.3882254719723487,8.543154419042524e-15
chr10,42638552,42638553,ENSG00000196693.14,ZNF33B,133,5,CellTypeSpecific,0.035462054912759805,0.03545579282677525
chr10,42752144,42752145,ENSG00000259869.1,AL022344.7,133,1,NonSpecific,0.07506128608964963,0.0019899980136396725
chr10,43138333,43138334,ENSG00000273008.1,RP11-351D16.3,139,27,CellTypeSpecific,0.24257242498670445,5.406429925993462e-9
chr10,43138485,43138486,ENSG00000169826.7,CSGALNACT2,139,38,CellTypeSpecific,0.1041559196417522,2.4185903832715214e-4
chr10,43420737,43420738,ENSG00000230555.2,RP11-517P14.2,130,23,CellTypeSpecific,0.3099769378283843,1.5600193600907312e-11
chr10,45594905,45594906,ENSG00000165406.15,MARCH8,153,17,CellTypeSpecific,0.2626838864920331,9.950094352736728e-10
chr10,45672779,45672780,ENSG00000172671.19,ZFAND4,153,21,NonSpecific,0.24237170451672727,5.497392774323564e-9
chr10,45727231,45727232,ENSG00000172661.17,WASHC2C,153,52,NonSpecific,0.4767738711707061,5.159577392031218e-19
chr10,45853874,45853875,ENSG00000188234.13,AGAP4,129,16,CellTypeSpecific,0.43666879250392604,5.053929712512448e-17
chr10,46286344,46286345,ENSG00000274209.4,ANTXRL,170,7,CellTypeSpecific,0.11713099049127464,9.359853617686003e-5
chr10,46465880,46465881,ENSG00000204174.7,NPY4R,197,1,NonSpecific,0.08708405264803235,8.350817591291824e-4
chr10,46555529,46555530,ENSG00000204175.5,GPRIN2,195,1,NonSpecific,0.046407941141900166,0.015833615804902102
chr10,46578216,46578217,ENSG00000204176.13,SYT15,192,31,CellTypeSpecific,0.3423208966703611,7.768042798648165e-13
chr10,46911395,46911396,ENSG00000204179.10,PTPN20,168,8,NonSpecific,0.1414329480894467,1.5449747282008213e-5
chr10,47300385,47300386,ENSG00000266524.2,GDF10,144,6,CellTypeSpecific,0.18045223282918202,7.909903279347561e-7
chr10,47484157,47484158,ENSG00000265190.6,ANXA8,139,0,NonSpecific,NA,NA
